ID,Stratum,Long,Lat,VEG-DIST-STATUS,VEG-ANOM-MAX,VEG-IND-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-DUR,VEG-DIST-COUNT,GEN-DIST-STATUS,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-DUR,GEN-DIST-COUNT
152,5,129.442130388967,42.3428624422825,0,0,98,0,NA,0,0,0,0,0,NA,0,0
153,3,89.5239186421078,49.7407570198285,0,0,69,0,NA,0,0,0,0,0,NA,0,0
154,6,-1.25812162736651,46.9514556760754,7,31,41,1567,20220715,44,9,7,23,1045,20220712,31,8
155,4,-98.9243086465892,32.843272657656,7,30,25,2779,20220620,69,12,0,0,0,NA,0,0
156,2,116.57322776088,50.9694806731172,0,0,94,0,NA,0,0,0,0,0,NA,0,0
157,1,-109.230131499976,71.7815112348078,0,0,39,0,NA,0,0,0,0,0,NA,0,0
158,2,37.0229359498332,47.6228362179242,0,0,85,0,NA,0,0,0,0,0,NA,0,0
159,1,-75.7071306510181,38.5647355567276,0,0,99,0,NA,0,0,0,0,0,NA,0,0
160,2,24.49291149999,14.0099817504791,0,0,77,0,NA,0,0,0,0,0,NA,0,0
161,5,171.758873268967,68.4721066934092,0,0,91,0,NA,0,0,0,0,0,NA,0,0
162,2,22.985391524501,-21.0637579488547,0,0,77,0,NA,0,0,0,0,0,NA,0,0
163,6,-67.1779550655336,-12.8590024531791,0,0,94,0,NA,0,0,0,0,0,NA,0,0
164,1,131.184677411485,-27.2403534652121,0,0,44,0,NA,0,0,7,24,438,20220207,12,5
165,3,36.3465043715897,5.4665577307554,7,41,21,3223,20211102,61,11,0,0,0,NA,0,0
166,5,-120.95294731834,38.9498877400107,0,0,98,0,NA,0,0,0,0,0,NA,0,0
167,3,88.9891118049228,44.2427338734966,0,0,99,0,NA,0,0,0,0,0,NA,0,0
168,4,73.0273392390728,30.0560257751621,3,21,22,425,20220915,13,5,0,0,0,NA,0,0
169,6,125.228894433652,62.0770947577555,7,42,25,2538,20211002,251,9,0,0,0,NA,0,0
170,4,-107.765416871723,46.7261508245107,0,0,34,0,NA,0,0,0,0,0,NA,0,0
171,1,-109.215671297206,43.0443908510389,0,0,56,0,NA,0,0,0,0,0,NA,0,0
172,3,39.713106538118,38.5534706703203,0,0,38,0,NA,0,0,0,0,0,NA,0,0
173,1,68.5669261463767,30.9026955208248,0,0,19,0,NA,0,0,0,0,0,NA,0,0
174,4,-100.421143881945,26.63206880758,7,25,17,6238,20220527,93,18,0,0,0,NA,0,0
175,5,-58.0815522684149,-30.5179557959424,0,0,100,0,NA,0,0,0,0,0,NA,0,0
176,4,-103.418852857721,34.456731960147,0,0,38,0,NA,0,0,7,23,670,20220331,16,6
177,2,129.637361813328,-17.5782625789105,0,0,64,0,NA,0,0,0,0,0,NA,0,0
178,2,-37.5463952881813,-4.7937668480541,0,0,99,0,NA,0,0,3,24,505,20220902,26,5
179,3,31.5111780480137,57.9048927075039,0,0,99,0,NA,0,0,0,0,0,NA,0,0
180,5,5.05552984715777,49.4293274874473,7,35,15,530,20211009,21,5,0,0,0,NA,0,0
181,1,172.326036439835,-40.9977606170427,0,0,99,0,NA,0,0,0,0,0,NA,0,0
182,5,162.386551326787,69.5854028417849,0,0,81,0,NA,0,0,0,0,0,NA,0,0
183,1,122.636518556461,-33.8750185611374,0,0,99,0,NA,0,0,0,0,0,NA,0,0
184,4,-49.372423120117,-13.6824617779348,0,0,92,0,NA,0,0,0,0,0,NA,0,0
185,3,-64.3862527430402,-24.1871239538273,3,24,35,875,20220906,19,7,0,0,0,NA,0,0
186,1,75.6367348422711,18.4183328939621,0,0,76,0,NA,0,0,0,0,0,NA,0,0
187,2,130.909383352447,-22.7230825737255,0,0,36,0,NA,0,0,0,0,0,NA,0,0
188,6,74.8649005612582,53.6097747501198,0,0,80,0,NA,0,0,0,0,0,NA,0,0
189,5,35.2348015065972,40.5158501408582,0,0,99,0,NA,0,0,0,0,0,NA,0,0
190,3,92.290086122266,53.8132835688515,7,28,45,917,20220714,29,7,0,0,0,NA,0,0
191,2,102.442238666338,37.9890853487205,0,0,99,0,NA,0,0,0,49,0,NA,126,20
192,2,38.3215381429024,45.2158881672282,0,0,99,0,NA,0,0,0,32,0,NA,53,10
193,3,-36.520480403816,-8.36551020143222,0,0,88,0,NA,0,0,0,0,0,NA,0,0
194,6,73.3433177248864,31.2164997888026,7,34,12,2610,20211002,31,10,0,40,0,NA,31,10
195,1,48.1175821270786,25.8790685135323,0,0,8,0,NA,0,0,0,0,0,NA,0,0
196,6,63.772043954431,30.5481845744719,7,21,6,2020,20211004,21,10,0,0,0,NA,0,0
197,1,84.2095412000691,46.0332108086776,0,0,61,0,NA,0,0,0,0,0,NA,0,0
198,4,-104.908527161271,47.2507195426236,0,0,67,0,NA,0,0,0,0,0,NA,0,0
199,4,22.7212952160322,-7.8161487632932,0,0,97,0,NA,0,0,0,0,0,NA,0,0
200,4,9.97067650064039,11.2886328362275,0,0,60,0,NA,0,0,0,0,0,NA,0,0
201,6,-56.4186161364096,-28.3046535622979,8,57,33,16492,20211230,73,22,0,27,0,NA,56,13
202,1,14.9538463913638,7.97960712886143,0,0,99,0,NA,0,0,0,0,0,NA,0,0
203,6,116.322604710124,41.2641158458055,0,0,99,0,NA,0,0,0,0,0,NA,0,0
204,2,-59.7600183442357,-16.9467047828995,0,0,100,0,NA,0,0,7,24,1457,20220827,22,9
205,6,-59.1094071226507,-37.7363920943919,0,0,100,0,NA,0,0,0,0,0,NA,0,0
206,1,-72.1505800674151,-5.57700271102155,0,0,100,0,NA,0,0,0,0,0,NA,0,0
207,5,-154.828082033793,60.04527449707,0,0,99,0,NA,0,0,0,0,0,NA,0,0
208,2,34.2172960987148,13.7415188904734,0,0,99,0,NA,0,0,7,22,10826,20220226,66,28
209,4,-58.7553185891538,-14.5657599449577,7,23,5,1800,20220812,37,10,0,0,0,NA,0,0
210,2,27.767549064222,26.4415165066318,0,0,95,0,NA,0,0,8,95,4507,20220207,34,10
211,3,131.249387008582,-16.8452866504896,0,0,57,0,NA,0,0,0,0,0,NA,0,0
212,6,8.03921864396372,48.3152306160357,0,0,99,0,NA,0,0,0,0,0,NA,0,0
213,6,-52.4662076911316,-12.1674355945086,8,70,18,9757,20220418,45,16,0,19,0,NA,16,5
214,3,-104.714252720792,43.6857731461663,0,0,54,0,NA,0,0,0,0,0,NA,0,0
215,1,-126.592673542206,62.3825685033712,0,0,23,0,NA,0,0,255,255,-1,NA,-1,255
216,2,-105.432419815071,51.8278299232026,0,0,96,0,NA,0,0,0,0,0,NA,0,0
217,3,-64.8341612400613,-28.934190781374,0,0,99,0,NA,0,0,0,0,0,NA,0,0
218,5,122.109589595726,71.6622672190264,0,0,81,0,NA,0,0,0,0,0,NA,0,0
219,4,128.869027788039,-18.5805095012655,0,0,77,0,NA,0,0,0,0,0,NA,0,0
220,5,-79.8209164622995,43.7697543645907,0,0,99,0,NA,0,0,3,83,412,20220710,58,3
221,5,87.4907768137948,61.3431214916595,0,0,99,0,NA,0,0,0,0,0,NA,0,0
222,4,9.5334632017736,35.847263508238,7,15,7,1208,20211219,29,10,0,0,0,NA,0,0
223,3,140.80256272138,-33.4381935099248,7,24,8,5795,20220327,146,19,0,0,0,NA,0,0
224,6,-3.86236620245384,57.8016759294455,8,70,27,1440,20220525,11,5,8,53,643,20220601,4,4
225,2,131.520253047943,-22.0178760741583,0,0,40,0,NA,0,0,0,22,0,NA,16,5
226,5,100.170839506713,16.0069094260448,0,0,99,0,NA,0,0,0,0,0,NA,0,0
227,1,-41.447312445697,63.8687716665291,0,0,20,0,NA,0,0,0,0,0,NA,0,0
228,1,32.2153704323208,34.6924960637426,255,255,255,-1,NA,-1,255,255,255,-1,NA,-1,255
229,5,101.754932926236,52.9746287493831,0,0,99,0,NA,0,0,0,0,0,NA,0,0
230,5,74.6614873845952,32.523124015369,0,0,96,0,NA,0,0,0,0,0,NA,0,0
231,5,-67.3425749402817,-34.9043903056107,0,0,61,0,NA,0,0,0,0,0,NA,0,0
232,2,49.164915649273,51.8005837764055,0,0,99,0,NA,0,0,7,27,1050,20211026,186,8
233,6,-108.969662249181,40.9818976584774,10,51,22,2776,20211001,226,8,0,36,0,NA,261,10
234,2,137.347365558496,-17.8924295255372,0,0,58,0,NA,0,0,0,0,0,NA,0,0
235,5,40.1198041362844,37.9879079441331,0,0,94,0,NA,0,0,0,0,0,NA,0,0
236,6,-63.173621883295,-16.6029127756309,8,69,8,8450,20220316,47,13,8,73,3061,20220316,47,11
237,5,-4.9727152928844,14.1843202183685,0,0,66,0,NA,0,0,0,0,0,NA,0,0
238,3,117.682885935423,32.8569835465401,7,37,21,936,20220224,17,6,0,0,0,NA,0,0
239,3,42.8711860106826,57.315243062649,7,30,10,3179,20220801,23,11,7,23,1066,20211007,198,8
240,2,-101.76789307241,37.763219805711,0,0,45,0,NA,0,0,0,0,0,NA,0,0
241,2,136.790982697121,-18.4284822859483,0,0,46,0,NA,0,0,0,0,0,NA,0,0
242,4,45.0799713566101,-24.2053275258162,7,18,10,952,20220319,19,8,0,0,0,NA,0,0
243,1,8.91165040631947,14.1287996938659,0,0,9,0,NA,0,0,0,0,0,NA,0,0
244,2,138.061964524344,-24.8315819233285,0,0,13,0,NA,0,0,0,0,0,NA,0,0
245,6,-96.4990965582511,29.0849815708042,8,79,11,483,20220513,9,3,0,0,0,NA,0,0
246,6,109.909855005878,40.3739119376602,0,0,98,0,NA,0,0,0,0,0,NA,0,0
247,6,133.704678627273,56.7486353047645,3,48,31,3500,20220731,49,10,0,0,0,NA,0,0
248,4,9.81038791711043,51.4716539687739,0,0,99,0,NA,0,0,0,0,0,NA,0,0
249,3,38.5446720761604,36.3589875319913,0,0,11,0,NA,0,0,0,0,0,NA,0,0
250,6,-7.52848790789017,41.8422654005767,0,0,70,0,NA,0,0,3,29,1246,20220909,18,7
251,5,30.1720443755238,48.9634322789158,7,15,20,480,20220512,24,6,0,0,0,NA,0,0
252,5,-143.889116758436,65.3744917561346,0,0,88,0,NA,0,0,0,0,0,NA,0,0
253,1,74.6487957607947,44.8777520182926,0,0,13,0,NA,0,0,0,0,0,NA,0,0
254,1,127.643840915821,-29.9397770515716,0,0,44,0,NA,0,0,0,0,0,NA,0,0
255,3,46.5128201692129,3.40793014609255,0,0,78,0,NA,0,0,0,0,0,NA,0,0
256,6,-5.36489855300829,50.2290631764049,8,78,14,9152,20220522,48,13,0,51,0,NA,29,9
257,6,46.0489571018728,-22.4234083375351,0,0,89,0,NA,0,0,0,0,0,NA,0,0
258,3,-2.53199395298012,13.2573652271452,0,0,97,0,NA,0,0,0,0,0,NA,0,0
259,2,23.9843892636701,14.6460820475337,0,0,86,0,NA,0,0,0,0,0,NA,0,0
260,1,-108.211025133644,30.1418738625733,0,0,77,0,NA,0,0,0,0,0,NA,0,0
261,6,17.0092996982423,50.4036563055695,8,79,16,4518,20220510,41,9,1,85,26,20220929,17,4
262,4,38.862522758627,5.59133587892154,7,21,59,648,20220222,36,6,0,36,0,NA,26,6
263,1,47.0936331588855,36.7145675616731,0,0,67,0,NA,0,0,0,0,0,NA,0,0
264,3,35.7097211248991,31.2140933746272,0,0,26,0,NA,0,0,0,0,0,NA,0,0
265,2,-79.8849171033078,-6.44172957171847,0,0,99,0,NA,0,0,7,39,1823,20220614,92,9
266,2,141.090914237274,-33.8095588766427,0,0,51,0,NA,0,0,7,25,532,20220627,21,6
267,6,29.8124615854482,-12.1775707197408,0,0,88,0,NA,0,0,0,0,0,NA,0,0
268,5,-160.933554146063,63.5149761949895,0,0,90,0,NA,0,0,0,0,0,NA,0,0
269,4,-65.9172331492204,-31.7726510226663,8,51,16,11540,20220201,96,20,0,0,0,NA,0,0
270,3,-5.35783475208234,33.9440032172769,0,0,73,0,NA,0,0,0,0,0,NA,0,0
271,2,-108.420876836893,34.3078728153236,0,0,64,0,NA,0,0,0,0,0,NA,0,0
272,6,44.2128519892493,41.3252884463372,3,27,38,787,20220903,26,7,0,0,0,NA,0,0
273,1,34.3747725310979,55.9998781152994,0,0,99,0,NA,0,0,0,0,0,NA,0,0
274,4,8.69652176858423,39.924499240331,7,28,33,3251,20211003,49,13,0,0,0,NA,0,0
275,3,6.80933356234007,10.4923878809707,0,0,89,0,NA,0,0,0,0,0,NA,0,0
276,3,74.1747980751273,30.5515946359266,3,40,58,743,20220831,30,6,0,0,0,NA,0,0
277,4,43.6108771843863,9.22929255310694,0,0,26,0,NA,0,0,0,0,0,NA,0,0
278,5,-61.5891305043637,-28.0206438716158,0,0,78,0,NA,0,0,0,0,0,NA,0,0
279,6,-51.6389716963472,-22.5287473772414,8,75,6,32000,20211201,133,25,8,70,30963,20211224,138,29
280,3,36.2802655260924,-15.1245559225461,0,0,100,0,NA,0,0,0,0,0,NA,0,0
281,5,-96.4000172178454,32.2779718788005,7,46,31,11080,20220621,50,20,0,0,0,NA,0,0
282,6,46.6830921150589,-22.4876936493132,0,0,92,0,NA,0,0,0,0,0,NA,0,0
283,5,161.108811289349,65.1036077353482,0,0,89,0,NA,0,0,0,0,0,NA,0,0
284,1,77.4984521515179,22.7359309205524,0,0,89,0,NA,0,0,0,0,0,NA,0,0
285,5,-149.786724291187,62.7712171165682,0,0,99,0,NA,0,0,0,0,0,NA,0,0
286,6,-96.8810253689011,33.5375163342686,7,24,8,1208,20220725,26,8,0,0,0,NA,0,0
287,4,43.166532134688,34.4497254303104,0,0,12,0,NA,0,0,0,0,0,NA,0,0
288,2,-42.7529312671236,-2.82838978371313,7,44,39,2710,20211006,268,10,6,218,8655,20211006,339,15
289,2,-12.609048160209,18.1920848090946,0,0,7,0,NA,0,0,7,27,859,20220824,24,7
290,4,-60.5221964747122,-23.4479498428804,3,49,18,6985,20220524,117,19,0,0,0,NA,0,0
291,2,67.6859819665351,50.4491743340705,0,0,46,0,NA,0,0,0,0,0,NA,0,0
292,1,-66.5864941074838,-21.7894154595899,0,0,18,0,NA,0,0,0,0,0,NA,0,0
293,6,-86.6290695636754,33.599523946315,8,55,25,21190,20220325,109,26,0,0,0,NA,0,0
294,4,39.0695781597844,36.8514841671986,0,0,95,0,NA,0,0,0,0,0,NA,0,0
295,4,-44.4207281127973,-15.072626745825,7,41,15,580,20211003,55,4,0,0,0,NA,0,0
296,3,104.545528811234,35.4068129378664,7,34,35,610,20220723,21,5,0,0,0,NA,0,0
297,6,-124.977740048591,60.9885740650386,8,51,0,8526,20211007,268,16,0,79,0,NA,268,13
298,1,-48.608389408971,-24.3096425244397,0,0,100,0,NA,0,0,0,0,0,NA,0,0
299,4,-103.037923326874,29.6239653566741,0,0,17,0,NA,0,0,0,0,0,NA,0,0
300,3,24.7054498424535,12.7086797260919,0,0,33,0,NA,0,0,0,0,0,NA,0,0
